NomeInstituicao,Saldo
ITAU,94641755.0
NU PAGAMENTOS S.A. - INSTITUIÇÃO DE PAGAMENTO,90392870.0
NUBANK,82264331.0
BRADESCO,80675940.0
SANTANDER,61586381.0
CAIXA ECONÔMICA FEDERAL,61020963.0
BB,47632161.0
BTG PACTUAL,19162132.0
BANCO CSF S.A.,18901319.0
C6 BANK,18556487.0
INTER,15473775.0
BMG,15029554.0
ORIGINAL,14426760.0
MERCADO PAGO INSTITUIÇÃO DE PAGAMENTO LTDA.,13679574.0
"REALIZE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.",11348558.0
MERCANTIL DO BRASIL,10789433.0
SAFRA,10703541.0
"MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",10282957.0
BANCO SICOOB,8868345.0
"MERCADO CRÉDITO SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.",8761153.0
VOTORANTIM,7887685.0
CREDSYSTEM INSTITUIÇÃO DE PAGAMENTO LTDA,7540027.0
PORTO SEGURO,7475936.0
"PEFISA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",7339583.0
BRB,7112248.0
MASTER,6523389.0
WILL S.A. INSTITUICAO DE PAGAMENTO,6082343.0
BANRISUL,6046292.0
AGIBANK,5294886.0
NEON PAGAMENTOS S.A. - INSTITUIÇÃO DE PAGAMENTO,4913100.0
DAYCOVAL,4695395.0
FACTA FINANCEIRA S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO,4688224.0
CREFISA,4284113.0
PINE,3583851.0
"WILL FINANCEIRA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO",3527580.0
NEON,3151560.0
NOVO BANCO CONTINENTAL S.A. - BANCO MÚLTIPLO,2973945.0
DMCARD,2852103.0
XP,2759413.0
BANCO TRIANGULO S.A.,2523084.0
BRASIL CARD INSTITUIÇÃO DE PAGAMENTOS LTDA,2434981.0
PAGBANK-PAGSEGURO,2397050.0
PARANÁ BANCO,2137752.0
BANCO DO NORDESTE DO BRASIL S.A.,1868335.0
FORTBRASIL INSTITUIÇÃO DE PAGAMENTO S/A,1768038.0
BANCO BNP PARIBAS BRASIL S.A.,1428669.0
OMNI,1422672.0
HONDA,1197167.0
BANCO VOLKSWAGEN S.A.,1136002.0
"ZEMA CRÉDITO, FINANCIAMENTO E INVESTIMENTO S/A",1134605.0
SENFFNET INSTITUIÇÃO DE PAGAMENTO LTDA.,950236.0
AFINZ INSTITUIÇÃO DE PAGAMENTO S.A.,941966.0
PAGSEGURO INTERNET INSTITUIÇÃO DE PAGAMENTO S.A.,901390.0
CREDI-SHOP S/A - INSTITUIÇÃO DE PAGAMENTO,865824.0
"LEBES FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",855486.0
SEM PARAR SOCIEDADE DE CRÉDITO DIRETO S.A.,845365.0
BANCO COOPERATIVO SICREDI S.A.,812644.0
"AGORACRED S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO",775059.0
BANCO INBURSA S.A.,757357.0
BANESTES,698932.0
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI,698350.0
BANCO YAMAHA MOTOR DO BRASIL S.A.,682524.0
BANCO DO ESTADO DO PARÁ S.A.,679052.0
BANCO AFINZ S.A. - BANCO MÚLTIPLO,664067.0
BANCO GM S.A.,641193.0
BANCO DO ESTADO DE SERGIPE S.A.,629686.0
UP.P SOCIEDADE DE EMPRÉSTIMO ENTRE PESSOAS S.A.,612946.0
QUERO-QUERO VERDECARD INSTITUIÇÃO DE PAGAMENTO S.A.,611377.0
"CREDIARE S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",589092.0
"NEGRESCO S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS",521590.0
"KREDILIG S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",458083.0
BANCO TOYOTA DO BRASIL S.A.,437916.0
"VIA CERTA FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTOS",409088.0
"CALCRED S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",403199.0
"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUDOESTE MT/PA - SICREDI SUDOESTE MT/PA",390160.0
"BECKER FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",386816.0
M PAGAMENTOS S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO,371110.0
COOPER CARD INSTITUIÇÃO DE PAGAMENTO LTDA.,318937.0
SWAP INSTITUIÇÃO DE PAGAMENTO S.A.,312848.0
"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO CAMPOS GERAIS E GRANDE CURITIBA - SICREDI CAMPOS GERAIS E GRANDE CURITIBA PR/SP",282189.0
"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO NORTE MATO-GROSSENSE E OESTE PARAENSE - SICREDI GRANDES RIOS MT/PA/AM",271914.0
"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO DE ESTADOS RIO GRANDE DO SUL, SANTA CATARINA E MINAS GERAIS - SICREDI UNIESTADOS",269048.0
BANCO SEMEAR S.A.,266265.0
STELLANTIS,263781.0
NATURA &CO PAY SOCIEDADE DE CRÉDITO DIRETO S.A.,250364.0
BANCO DIGIMAIS S.A.,249383.0
ACESSO SOLUÇÕES DE PAGAMENTO S.A. - INSTITUIÇÃO DE PAGAMENTO,247519.0
ALESTA SOCIEDADE DE CREDITO DIRETO S.A.,244266.0
"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DEXIS - SICREDI DEXIS",239914.0
"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VANGUARDA - SICREDI VANGUARDA PR/SP/RJ",235517.0
"CENTROCRED S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTOS",232838.0
"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO SICREDI PIONEIRA RS - SICREDI PIONEIRA RS",228615.0
BANCO PAULISTA S.A.,227042.0
MULVI INSTITUICAO DE PAGAMENTO S.A.,223498.0
INDUSTRIAL DO BRASIL,220719.0
"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO CENTRO SUL DO MATO GROSSO DO SUL E BAHIA - SICREDI CENTRO-SUL MS/BA",217433.0
"HS FINANCEIRA S/A CREDITO, FINANCIAMENTO E INVESTIMENTOS",215790.0
"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO OURO VERDE DO MATO GROSSO - SICREDI OURO VERDE MT",215183.0
QI,209273.0
ANDBANK,207306.0
"GAZINCRED S.A. SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO",206378.0
"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO - SICREDI UNIAO RS/ES",203611.0
"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VALE DO PIQUIRI ABCD - SICREDI VALE DO PIQUIRI ABCD PR/SP",200555.0
"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO SORRISO - SICREDI CELEIRO MT/RR",194018.0
"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO CONEXÃO - SICREDI CONEXÃO",188060.0
COOPERATIVA DE CRÉDITO SICREDI SERRANA RS/ES,175384.0
COOPERATIVA DE CRÉDITO ALIANÇA RS/SC/ES - SICREDI ALIANÇA RS/SC/ES,174563.0
COOPERATIVA DE CRÉDITO MAXI ALFA DE LIVRE ADMISSÃO DE ASSOCIADOS - SICOOB MAXICRÉDITO,162121.0
"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIVALES - SICREDI UNIVALES MT/RO",160872.0
"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO OURO BRANCO - SICREDI OURO BRANCO RS/MG",158071.0
COOPERATIVA DE CRÉDITO CONEXÃO - SICOOB CONEXÃO,156663.0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO CENTRO SUL RONDONIENSE - SICOOB CREDIP.,154260.0
"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO CELEIRO CENTRO OESTE - SICREDI CELEIRO CENTRO OESTE",153909.0
"QISTA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",148959.0
COOPERATIVA DE CRÉDITO SICOOB METROPOLITANO,147918.0
MOVA SOCIEDADE DE EMPRÉSTIMO ENTRE PESSOAS S.A.,145481.0
"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO ARAGUAIA E XINGU - SICREDI ARAXINGU",141849.0
SOFISA,141355.0
"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO DOS ESTADOS DE MATO GROSSO DO SUL, TOCANTINS E OESTE DA BAHIA - SICREDI UNIÃO MS/TO",140775.0
COOPERFORTE - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DE FUNCIONÁRIOS DE INSTITUIÇÕES FINANCEIRAS PÚBLICAS FEDERAIS LTDA.,136817.0
COOPERATIVA DE CRÉDITO DO VALE DO ITAJAÍ E LITORAL CATARINENSE - SICREDI VALE LITORAL SC,134986.0
"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO RIO PARANÁ - SICREDI RIO PARANÁ",132895.0
"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO ESSÊNCIA RS/ES - SICREDI ESSÊNCIA",132601.0
"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO NORTE E NORDESTE DE SANTA CATARINA - SICREDI NORTE SC",129976.0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO ALTO VALE DO ITAJAÍ - VIACREDI ALTO VALE,129871.0
"GRAZZIOTIN FINANCEIRA S/A - CRÉDITO, FINANCIAMENTO E INVESTIMENTOS",128747.0
COOPERATIVA DE CREDITO CREDICITRUS,128500.0
"CORA SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.",128135.0
"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO PLANALTO - SICREDI PLANALTO RS/MG",125527.0
"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DA REGIÃO ALTOS DA SERRA - SICREDI ALTOS DA SERRA RS/SC",123817.0
"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO NOROESTE DE MATO GROSSO, ACRE E AMAZONAS - SICREDI BIOMAS",123592.0
"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO INTEGRAÇÃO DO SUL DE MATO GROSSO, AMAPÁ E PARÁ - SICREDI INTEGRAÇÃO MT/AP/PA",121023.0
"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO FRONTEIRAS DO PARANÁ, SANTA CATARINA E SÃO PAULO - SICREDI FRONTEIRAS PR/SC/SP",119458.0
BANCO DE LAGE LANDEN BRASIL S.A.,118978.0
BANCO DA AMAZONIA S.A.,117089.0
GPATIVA - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DO GRUPO PÃO DE AÇÚCAR,113978.0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SÃO MIGUEL DO OESTE - SICOOB SÃO MIGUEL SC/PR/RS,113109.0
CCB,110789.0
COOPERATIVA DE CRÉDITO E INVESTIMENTO DE LIVRE ADMISSÃO AGROEMPRESARIAL - SICREDI AGROEMPRESARIAL PR/SP,110613.0
"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DAS REGIÕES CENTRO DO RS E MG - SICREDI REGIÃO CENTRO RS/MG",108423.0
"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO RAÍZES - SICREDI RAÍZES RS/SC/MG",105789.0
"COOPERATIVA DE CREDITO, POUPANÇA E INVESTIMENTO ALIANÇA - SICREDI ALIANÇA PR/SP",105683.0
COOPERATIVA DE CRÉDITO SUL-SERRANA DO ESPÍRITO SANTO,102569.0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CENTRO BRASILEIRA LTDA.,102557.0
SISPRIME DO BRASIL - COOPERATIVA DE CRÉDITO,102336.0
"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO BOTUCARAÍ - SICREDI BOTUCARAÍ RS/MG",101104.0
"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VALE DO CERRADO - SICREDI VALE DO CERRADO",100422.0
SICOOB CREDICOM - COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS MEDICOS E PROFISSIONAIS DA AREA DE SAUDE DO BRASIL LTDA.,99799.0
COOPERATIVA DE CRÉDITO AGROCREDI LTDA. - SICOOB AGROCREDI,98604.0
"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DA REGIÃO DA PRODUÇÃO - SICREDI REGIÃO DA PRODUÇÃO RS/SC/MG",97301.0
"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO INTEGRAÇÃO DE ESTADOS DO RIO GRANDE DO SUL, SANTA CATARINA E MINAS GERAIS - SICREDI INTEGRAÇÃO DE ESTADOS RS/SC/MG",95063.0
BANCO CNH INDUSTRIAL CAPITAL S.A.,92305.0
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DO ATACADÃO,89748.0
"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO SICREDI EVOLUÇÃO - SICREDI EVOLUÇÃO",89678.0
"JBCRED S.A. SOCIEDADE DE CREDITO, FINANCIAMENTO E INVESTIMENTO",88740.0
BARIGUI,88102.0
"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO CAMINHO DAS ÁGUAS RS - SICREDI CAMINHO DAS ÁGUAS RS",87591.0
"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO INTERESTADOS - SICREDI INTERESTADOS RS/ES",87407.0
AGÊNCIA DE FOMENTO DO PARANÁ S.A.,86278.0
BMW,86058.0
"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO SUL RIOGRANDENSE - SICREDI ORIGENS RS",85998.0
COOPERATIVA DE CRÉDITO E INVESTIMENTO DO SUDOESTE  DA AMAZÔNIA LTDA - SICOOB CREDISUL,85660.0
"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VALE DO JAGUARI E ZONA DA MATA - SICREDI VALE DO JAGUARI E ZONA DA MATA RS/MG",85184.0
"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUL DO ESTADO DE SANTA CATARINA - SICREDI SUL SC",84600.0
BARRACRED - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO,83952.0
COOPERATIVA DE CRÉDITO SUL DO ESPÍRITO SANTO - SICOOB SUL,83256.0
"TODESCREDI S/A - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",82550.0
"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DE CAMPO GRANDE E REGIÃO - SICREDI CAMPO GRANDE MS",82527.0
BANCO RODOBENS S.A.,82227.0
COOPERATIVA DE CRÉDITO ROTA DAS TERRAS - SICREDI ROTA DAS TERRAS RS/MG,82222.0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL,81946.0
"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO PLANALTO CENTRAL - SICREDI PLANALTO CENTRAL",81913.0
"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO REGIÕES DAS CULTURAS - SICREDI DAS CULTURAS RS/MG",81610.0
"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO NOSSA TERRA - SICREDI NOSSA TERRA PR/SP",80831.0
BANCO SENFF S.A.,78918.0
COOPERATIVA DE CRÉDITO COOPERMAIS - SICOOB COOPERMAIS,78733.0
"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO CENTRO SUL - SICREDI CENTRO SUL PR/SC/RJ",78076.0
"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO NOVOS HORIZONTES - SICREDI NOVOS HORIZONTES PR/SP/RJ",77959.0
"COOPERATIVA DE CREDITO, POUPANÇA E INVESTIMENTO PARQUE DAS ARAUCARIAS - SICREDI PARQUE DAS ARAUCARIAS PR/SC/SP",77949.0
"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO GRANDES LAGOS DO PARANÁ E LITORAL PAULISTA - SICREDI GRANDES LAGOS PR/SP",77685.0
COOPERATIVA DE CRÉDITO SICOOB VALE SUL,77466.0
COOPERATIVA DE CRÉDITO SICOOB OURO VERDE,77087.0
"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO PARANAPANEMA SERRANA PR/SP/RJ - SICREDI PARANAPANEMA SERRANA PR/SP/RJ",76406.0
COOPERATIVA DE CRÉDITO DA FOZ DO RIO ITAJAÍ AÇU - CREDIFOZ,75799.0
COOPERATIVA DE CRÉDITO DO NORTE CATARINENSE - ACREDICOOP,75604.0
"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DA REGIÃO CENTRO OESTE PAULISTA - SICREDI CENTRO OESTE PAULISTA",75460.0
"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DE LAJEADO - SICREDI INTEGRAÇÃO RS/MG",74753.0
ASSOCIACAO DE POUPANCA E EMPRESTIMO - POUPEX,71334.0
COOPERATIVA DE CRÉDITO DA REGIÃO DO CONTESTADO - CIVIA,71221.0
"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO IGUAÇU - SICREDI IGUAÇU PR/SC E REGIÃO METROPOLITANA DE CAMPINAS/SP",70957.0
"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DE IBIRAIARAS - SICREDI IBIRAIARAS RS/MG",70443.0
"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO NORTE SUL - SICREDI NORTE SUL",69180.0
COOPERATIVA DE CRÉDITO GERAÇÕES - SICREDI GERAÇÕES RS/MG,65770.0
"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DA REGIÃO DOS VALES - SICREDI REGIÃO DOS VALES RS",65654.0
COOPERATIVA DE CRÉDITO DA REGIÃO MERIDIONAL DO BRASIL - SICOOB UNICOOB MERIDIONAL,64380.0
"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO SUL MINAS DO RIO GRANDE DO SUL E MINAS GERAIS - SICREDI SUL MINAS RS/MG.",63566.0
COOPERATIVA DE CREDITO CREDIROCHAS - SICOOB CREDIROCHAS,63048.0
COOPERATIVA DE CRÉDITO EVOLUA,62548.0
"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO TERRA DOS PINHEIRAIS DO PARANÁ E NOROESTE PAULISTA - SICREDI PLANALTO DAS ÁGUAS PR/SP",61853.0
"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO VALE DO RIO PARDO - SICREDI VALE DO RIO PARDO RS",61675.0
COOPERATIVA DE CRÉDITO - SICREDI EXPANSÃO,61269.0
"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO PROGRESSO - SICREDI PROGRESSO PR/SP",60798.0
"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DE ESPUMOSO - SICREDI ESPUMOSO RS/MG",60372.0
"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO NOROESTE RS/MG - SICREDI NOROESTE RS/MG",60345.0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO TRÊS FRONTEIRAS - SICOOB TRÊS FRONTEIRAS,58966.0
"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VALOR SUSTENTÁVEL - SICREDI VALOR SUSTENTÁVEL PR/SP",58396.0
COOPERATIVA DE CRÉDITO COOPERAÇÃO - SICREDI COOPERAÇÃO,57203.0
"RP FINANCEIRA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO",57189.0
COOPERATIVA DE CRÉDITO SICOOB CREDICAPITAL,55972.0
COOPERATIVA DE CREDITO DE LIVRE ADMISSÃO DO SUL DE MINAS LTDA - SICOOB CREDIVASS,55275.0
SICOOB COCRED COOPERATIVA DE CRÉDITO,55070.0
"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO CERRADO DE GOIÁS - SICREDI CERRADO GO",53697.0
COOPERATIVA DE CRÉDITO ARACOOP LTDA. - SICOOB ARACOOP,53618.0
"FINAMAX S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO",52908.0
CREDIBRF - COOPERATIVA DE CRÉDITO,52549.0
COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA RAIZ - CRESOL RAIZ,51825.0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO CENTRO NORTE BRASILEIRO,51688.0
"RPW S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO",51638.0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO SICOOB ARENITO PARANÁ / SÃO PAULO,49874.0
COOPERATIVA DE CRÉDITO CREDILIVRE LTDA. - SICOOB CREDILIVRE,49360.0
COOPERATIVA DE CREDITO E INVESTIMENTO COM INTERACAO SOLIDARIA PIONEIRA - CRESOL PIONEIRA,48986.0
COOPERATIVA DE CRÉDITO E INVESTIMENTO SICOOB CENTRO - SICOOB CENTRO,48563.0
MERCEDES-BENZ,47478.0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SUL CATARINENSE - SICOOB CREDISULCA SC,47168.0
COOPERATIVA DE CRÉDITO CREDICAF LTDA - SICOOB CREDICAF,45941.0
BANCO ARBI S.A.,45571.0
"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO CENTRO SERRA - SICREDI CENTRO SERRA RS",45376.0
COOPERATIVA DE CRÉDITO MÚTUO DOS EMPREGADOS DA EMBRAER- SICOOB COOPEREMB,45305.0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE SÃO ROQUE DE MINAS LTDA.,45185.0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA UNIÃO DOS VALES DO PIRANGA E MATIPÓ LTDA. - SICOOB UNIÃO DOS VALES,44624.0
"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO INTEGRAÇÃO - SICREDI INTEGRAÇÃO PR/SC",44445.0
COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA DO VALE EUROPEU - CRESOL VALE EUROPEU,44139.0
COOPERATIVA DE CREDITO CREDISUDESTE LTDA. - SICOOB CREDISUDESTE,44137.0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE  LAGOA DA PRATA E REGIÃO LTDA.   SICOOB LAGOACRED GERAIS,43975.0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO ALTO URUGUAI CATARINENSE - SICOOB CREDIAUC,43915.0
SICREDI CEARÁ - COOPERATIVA DE CRÉDITO DO ESTADO DO CEARÁ,43608.0
COOPERATIVA DE CRÉDITO LITORÂNEA,43350.0
COOPERATIVA DE CRÉDITO CREDIVAR LTDA. - SICOOB CREDIVAR,42990.0
"COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO MÉDIO PIRACICABA, CIRCUITO DO OURO, GRANDE BH E RIO GRANDE DO NORTE LTDA. -  SICOOB CREDIMEPI",41768.0
COOPERATIVA DE CRÉDITO DOS EMPRESÁRIOS E EMPREGADOS DOS TRANSPORTES E CORREIOS DO SUL DO BRASIL - TRANSPOCRED,41641.0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS - SICOOB CREDICARU SC/RS,40881.0
COOPERATIVA DE CRÉDITO DA AMAZÔNIA - SICOOB AMAZÔNIA,40108.0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG,39876.0
COOPERATIVA DE CRÉDITO SICOOB PRIMAVERA - SICOOB PRIMAVERA,39757.0
COOPERATIVA DE CRÉDITO E INVESTIMENTO COM INTERAÇÃO SOLIDÁRIA UNIÃO DOS VALES - CRESOL UNIÃO DOS VALES,39297.0
COOPERATIVA DE CRÉDITO POUPANÇA E INVESTIMENTO DA ALTA NOROESTE DE SÃO PAULO - SICREDI ALTA NOROESTE SP,38884.0
COOPERATIVA DE CRÉDITO INTEGRADO - SICOOB INTEGRADO,38615.0
COOPERATIVA DE CRÉDITO CREDINOR LTDA - SICOOB CREDINOR,38386.0
COOPERATIVA DE CRÉDITO CREDIVERTENTES LTDA. - SICOOB CREDIVERTENTES,37809.0
COOPERATIVA DE CREDITO CREDICERIPA - SICOOB CREDICERIPA,37125.0
ONCRED - SOCIEDADE DE CRÉDITO DIRETO S.A.,37116.0
COOPERATIVA DE CRÉDITO CREDINTER LTDA. - SICOOB CREDINTER,36576.0
"VALOR S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO",36576.0
COOPERATIVA DE CRÉDITO SICOOB SERTÃO LTDA,36524.0
COOPERATIVA DE CRÉDITO SUL-LITORÂNEA DO ESPÍRITO SANTO,36155.0
